iter	Passed	Remaining
0	4	4304
1	10	5112
2	15	5167
3	21	5283
4	26	5237
5	31	5247
6	36	5197
7	41	5160
8	47	5200
9	52	5161
10	56	5074
11	61	5097
12	67	5123
13	72	5079
14	77	5090
15	82	5078
16	87	5049
17	93	5089
18	98	5064
19	102	5010
20	107	4999
21	112	4990
22	117	4973
23	122	4998
24	128	5007
25	133	5002
26	139	5010
27	144	5027
28	149	5015
29	155	5021
30	160	5029
31	165	5011
32	171	5016
33	176	5022
34	181	5014
35	187	5024
36	193	5031
37	198	5015
38	203	5017
39	209	5030
40	214	5017
41	219	5016
42	224	5004
43	229	4993
44	234	4986
45	240	4987
46	245	4971
47	250	4971
48	255	4956
49	259	4935
50	264	4925
51	270	4923
52	274	4910
53	279	4903
54	285	4900
55	290	4896
56	295	4889
57	301	4890
58	305	4878
59	310	4862
60	315	4858
61	320	4847
62	325	4839
63	330	4836
64	336	4836
65	340	4823
66	345	4816
67	350	4807
68	355	4795
69	360	4783
70	365	4776
71	370	4769
72	374	4761
73	379	4754
74	385	4749
75	390	4744
76	395	4739
77	400	4737
78	405	4732
79	411	4731
80	416	4727
81	421	4715
82	427	4720
83	432	4712
84	437	4707
85	442	4705
86	447	4700
87	452	4684
88	456	4668
89	460	4659
90	465	4645
91	469	4630
92	473	4614
93	477	4601
94	481	4587
95	485	4572
96	490	4562
97	494	4554
98	499	4547
99	503	4531
100	509	4533
101	514	4526
102	518	4515
103	523	4513
104	528	4503
105	533	4497
106	537	4485
107	542	4478
108	546	4467
109	550	4453
110	555	4445
111	559	4435
112	564	4430
113	568	4417
114	573	4411
115	578	4405
116	582	4394
117	587	4389
118	592	4384
119	596	4375
120	601	4367
121	606	4361
122	611	4356
123	615	4348
124	620	4344
125	625	4339
126	629	4328
127	635	4326
128	640	4323
129	644	4312
130	648	4304
131	654	4301
132	659	4297
133	663	4289
134	668	4285
135	673	4279
136	677	4268
137	682	4265
138	688	4266
139	693	4259
140	699	4262
141	704	4256
142	709	4253
143	715	4253
144	720	4250
145	725	4244
146	731	4245
147	736	4239
148	740	4227
149	745	4226
150	750	4218
151	754	4208
152	758	4200
153	763	4195
154	767	4186
155	772	4178
156	777	4175
157	782	4168
158	786	4162
159	791	4153
160	795	4147
161	800	4140
162	804	4133
163	810	4129
164	814	4122
165	819	4115
166	823	4106
167	827	4099
168	832	4091
169	836	4084
170	841	4077
171	845	4069
172	849	4062
173	853	4052
174	858	4047
175	862	4039
176	867	4032
177	871	4025
178	876	4019
179	880	4011
180	884	4002
181	889	3998
182	894	3995
183	899	3988
184	903	3982
185	908	3976
186	913	3972
187	918	3965
188	923	3962
189	928	3957
190	932	3951
191	938	3948
192	943	3945
193	948	3941
194	954	3940
195	959	3936
196	964	3932
197	970	3929
198	974	3924
199	979	3917
200	997	3964
201	1015	4011
202	1020	4006
203	1024	3999
204	1029	3993
205	1036	3994
206	1040	3987
207	1045	3980
208	1050	3976
209	1054	3967
210	1058	3959
211	1063	3953
212	1068	3947
213	1072	3940
214	1076	3932
215	1081	3925
216	1085	3917
217	1090	3911
218	1095	3907
219	1100	3901
220	1105	3895
221	1110	3890
222	1115	3887
223	1121	3885
224	1126	3879
225	1132	3877
226	1138	3875
227	1143	3870
228	1148	3866
229	1153	3861
230	1157	3853
231	1163	3851
232	1168	3846
233	1173	3841
234	1178	3837
235	1184	3832
236	1188	3825
237	1193	3822
238	1198	3816
239	1203	3809
240	1208	3806
241	1214	3802
242	1218	3794
243	1222	3787
244	1227	3781
245	1231	3774
246	1235	3767
247	1241	3764
248	1245	3756
249	1249	3749
250	1254	3743
251	1259	3737
252	1263	3730
253	1267	3722
254	1271	3715
255	1276	3709
256	1280	3702
257	1285	3695
258	1290	3692
259	1295	3686
260	1300	3681
261	1305	3676
262	1310	3671
263	1315	3666
264	1319	3660
265	1324	3655
266	1329	3650
267	1334	3643
268	1339	3639
269	1344	3633
270	1348	3627
271	1353	3623
272	1358	3618
273	1363	3612
274	1367	3606
275	1372	3601
276	1377	3595
277	1381	3588
278	1386	3582
279	1390	3576
280	1395	3570
281	1400	3565
282	1405	3561
283	1409	3554
284	1413	3547
285	1418	3541
286	1422	3534
287	1426	3526
288	1430	3520
289	1435	3514
290	1440	3508
291	1444	3502
292	1449	3497
293	1453	3490
294	1457	3483
295	1461	3477
296	1466	3471
297	1471	3465
298	1475	3458
299	1480	3454
300	1485	3450
301	1490	3443
302	1494	3438
303	1500	3434
304	1504	3428
305	1508	3421
306	1513	3416
307	1518	3411
308	1522	3404
309	1527	3399
310	1532	3395
311	1536	3389
312	1541	3383
313	1546	3378
314	1552	3375
315	1557	3370
316	1561	3365
317	1566	3359
318	1570	3353
319	1575	3348
320	1580	3342
321	1584	3336
322	1588	3330
323	1593	3325
324	1598	3319
325	1602	3313
326	1607	3308
327	1612	3303
328	1617	3299
329	1623	3296
330	1629	3292
331	1634	3287
332	1639	3284
333	1644	3280
334	1649	3275
335	1655	3271
336	1660	3266
337	1665	3261
338	1676	3269
339	1689	3279
340	1696	3278
341	1707	3284
342	1712	3280
343	1718	3277
344	1724	3273
345	1729	3268
346	1734	3263
347	1739	3258
348	1743	3252
349	1748	3247
350	1754	3244
351	1759	3239
352	1765	3235
353	1769	3229
354	1773	3223
355	1778	3216
356	1783	3212
357	1788	3207
358	1792	3200
359	1797	3196
360	1803	3191
361	1807	3185
362	1811	3179
363	1816	3174
364	1822	3170
365	1829	3169
366	1835	3165
367	1840	3161
368	1851	3165
369	1857	3161
370	1861	3156
371	1866	3151
372	1871	3146
373	1876	3141
374	1881	3135
375	1885	3129
376	1890	3124
377	1895	3119
378	1899	3112
379	1905	3108
380	1910	3103
381	1914	3097
382	1920	3093
383	1924	3087
384	1929	3081
385	1933	3075
386	1939	3072
387	1944	3067
388	1949	3062
389	1954	3056
390	1959	3051
391	1963	3045
392	1968	3040
393	1973	3035
394	1978	3030
395	1983	3025
396	1988	3020
397	1993	3014
398	1997	3009
399	2003	3004
400	2007	2999
401	2012	2993
402	2017	2988
403	2022	2984
404	2028	2979
405	2033	2975
406	2039	2971
407	2043	2965
408	2048	2960
409	2053	2955
410	2059	2950
411	2064	2946
412	2069	2941
413	2073	2935
414	2078	2930
415	2083	2924
416	2087	2918
417	2091	2912
418	2096	2907
419	2101	2902
420	2105	2895
421	2110	2890
422	2115	2885
423	2119	2879
424	2123	2872
425	2129	2868
426	2133	2863
427	2138	2857
428	2143	2853
429	2148	2848
430	2153	2842
431	2158	2837
432	2163	2832
433	2168	2827
434	2173	2822
435	2178	2817
436	2183	2812
437	2188	2807
438	2193	2803
439	2197	2797
440	2202	2791
441	2207	2787
442	2212	2782
443	2217	2777
444	2223	2773
445	2228	2768
446	2233	2762
447	2238	2757
448	2243	2753
449	2247	2747
450	2252	2741
451	2257	2736
452	2262	2732
453	2267	2726
454	2273	2722
455	2277	2717
456	2282	2712
457	2287	2707
458	2292	2702
459	2296	2696
460	2301	2691
461	2306	2685
462	2311	2681
463	2316	2675
464	2321	2670
465	2326	2665
466	2330	2660
467	2336	2655
468	2340	2650
469	2345	2644
470	2350	2639
471	2355	2634
472	2359	2628
473	2363	2623
474	2369	2618
475	2374	2614
476	2379	2608
477	2384	2603
478	2388	2598
479	2393	2592
480	2398	2587
481	2402	2581
482	2406	2575
483	2410	2569
484	2415	2565
485	2420	2559
486	2423	2553
487	2428	2548
488	2433	2543
489	2438	2537
490	2444	2533
491	2449	2528
492	2453	2522
493	2457	2517
494	2462	2512
495	2467	2507
496	2471	2501
497	2476	2496
498	2481	2491
499	2485	2485
500	2489	2480
501	2494	2475
502	2500	2470
503	2504	2464
504	2509	2459
505	2513	2454
506	2518	2448
507	2522	2443
508	2527	2437
509	2532	2432
510	2536	2427
511	2541	2422
512	2546	2417
513	2551	2412
514	2555	2406
515	2560	2402
516	2565	2397
517	2571	2392
518	2576	2387
519	2580	2381
520	2584	2375
521	2589	2371
522	2593	2365
523	2598	2360
524	2603	2355
525	2608	2350
526	2612	2344
527	2616	2339
528	2622	2334
529	2627	2329
530	2631	2324
531	2637	2320
532	2642	2315
533	2647	2310
534	2651	2304
535	2657	2300
536	2662	2295
537	2667	2290
538	2672	2285
539	2676	2279
540	2680	2274
541	2685	2269
542	2690	2264
543	2694	2258
544	2700	2254
545	2706	2250
546	2710	2244
547	2715	2239
548	2720	2234
549	2724	2229
550	2728	2223
551	2734	2219
552	2738	2213
553	2742	2208
554	2748	2203
555	2752	2198
556	2756	2192
557	2761	2187
558	2766	2182
559	2770	2177
560	2775	2171
561	2780	2166
562	2785	2161
563	2789	2156
564	2793	2150
565	2798	2145
566	2802	2139
567	2806	2134
568	2811	2129
